Time,Temperature
1549379035,55.8
1549379036,56.4
1549379036,55.8
1549379037,55.8
1549379037,56.9
1549379038,56.4
1549379038,56.4
1549379039,56.9
1549379039,56.4
1549379040,55.8
1549379040,56.4
1549379041,56.9
1549379041,56.4
1549379042,56.9
1549379042,56.9
1549379043,56.9
1549379043,56.9
1549379044,56.9
1549379044,56.4
1549379045,56.9
1549379045,56.9
1549379046,56.4
1549379046,57.5
1549379047,56.9
1549379047,56.9
1549379048,56.9
1549379048,56.9
1549379049,58.0
1549379049,56.9
1549379050,56.9
1549379050,56.9
1549379051,56.9
1549379051,56.9
1549379052,56.9
1549379052,56.9
1549379053,58.0
1549379054,56.9
1549379054,56.9
1549379055,58.0
1549379055,58.0
1549379056,57.5
1549379056,58.0
1549379057,58.0
1549379057,57.5
1549379058,58.0
1549379058,58.0
1549379059,58.0
1549379059,58.0
1549379060,57.5
1549379060,58.0
1549379061,58.0
1549379061,58.0
1549379062,58.0
1549379062,58.0
1549379063,58.0
1549379063,58.5
1549379064,58.5
1549379064,58.0
1549379065,58.0
1549379065,58.0
1549379066,58.0
1549379066,58.0
1549379067,58.0
1549379067,58.0
1549379068,58.0
1549379068,58.0
1549379069,58.0
1549379069,58.0
1549379070,58.5
1549379070,58.5
1549379071,58.5
1549379071,58.5
1549379072,58.5
1549379072,58.0
1549379073,58.5
1549379073,59.1
1549379074,58.5
1549379074,58.5
1549379075,59.1
1549379075,58.0
1549379076,58.5
1549379076,59.1
1549379077,59.1
1549379078,59.1
1549379078,58.5
1549379079,58.5
1549379079,59.1
1549379080,58.5
1549379080,58.5
1549379081,59.1
1549379081,59.1
1549379082,58.5
1549379082,59.1
1549379083,59.1
1549379083,59.1
1549379084,59.1
1549379084,59.1
1549379085,59.1
1549379085,59.1
1549379086,59.1
1549379086,59.1
1549379087,59.1
1549379087,59.1
1549379088,59.1
1549379088,59.6
1549379089,59.1
1549379089,59.6
1549379090,59.1
1549379090,59.1
1549379091,59.1
1549379091,59.6
1549379092,59.6
1549379092,59.1
1549379093,60.1
1549379093,59.6
1549379094,59.1
1549379094,59.1
1549379095,59.6
1549379095,59.6
1549379096,60.1
1549379096,59.1
1549379097,60.1
1549379097,60.1
1549379098,59.6
1549379098,60.1
1549379099,59.1
1549379099,59.1
1549379100,60.1
1549379101,59.1
1549379101,60.1
1549379102,60.1
1549379102,60.1
1549379103,60.1
1549379103,60.1
1549379104,60.1
1549379104,60.1
1549379105,59.1
1549379105,60.1
1549379106,60.1
1549379106,60.1
1549379107,60.7
1549379107,60.1
1549379108,60.1
1549379108,60.1
1549379109,60.1
1549379109,60.7
1549379110,60.7
1549379110,60.1
1549379111,60.1
1549379111,60.1
1549379112,60.1
1549379112,61.2
1549379113,60.1
1549379113,60.7
1549379114,60.7
1549379114,60.1
1549379115,60.7
1549379115,60.1
1549379116,60.7
1549379116,60.7
1549379117,60.7
1549379117,60.7
1549379118,60.1
1549379118,60.1
1549379119,60.7
1549379119,61.2
1549379120,60.7
1549379120,60.7
1549379121,60.1
1549379121,61.2
1549379122,60.1
1549379122,61.2
1549379123,60.7
1549379124,60.7
1549379124,61.2
1549379125,61.2
1549379125,61.8
1549379126,61.2
1549379126,60.7
1549379127,60.7
1549379127,61.2
1549379128,61.2
1549379128,61.8
1549379129,61.2
1549379129,61.2
1549379130,61.2
1549379130,61.2
1549379131,61.2
1549379131,61.2
1549379132,61.2
1549379132,61.2
1549379133,61.8
1549379133,60.7
1549379134,61.2
1549379134,61.8
1549379135,61.2
1549379135,61.2
1549379136,61.2
1549379136,61.8
1549379137,61.8
1549379137,61.2
1549379138,61.2
1549379138,61.2
1549379139,61.2
1549379139,61.2
1549379140,61.2
1549379140,61.2
1549379141,61.8
1549379141,62.3
1549379142,61.8
1549379142,61.8
1549379143,61.8
1549379143,61.8
1549379144,62.3
1549379144,61.2
1549379145,61.8
1549379145,62.3
1549379146,61.8
1549379147,61.8
1549379147,61.8
1549379148,62.3
1549379148,62.3
1549379149,62.3
1549379149,62.3
1549379150,61.8
1549379150,62.3
1549379151,62.3
1549379151,62.3
1549379152,62.3
1549379152,62.3
1549379153,62.3
1549379153,62.3
1549379154,62.3
1549379154,62.3
1549379155,62.3
1549379155,62.3
1549379156,62.3
1549379156,62.3
1549379157,62.3
1549379157,62.3
1549379158,62.3
1549379158,62.3
1549379159,62.3
1549379159,62.3
1549379160,62.3
1549379160,62.3
1549379161,62.3
1549379161,62.3
1549379162,62.3
1549379162,62.3
1549379163,62.3
1549379163,62.3
1549379164,62.3
1549379164,62.3
1549379165,62.3
1549379165,62.8
1549379166,62.3
1549379166,62.3
1549379167,62.3
1549379167,62.8
1549379168,62.3
1549379168,62.3
1549379169,62.8
1549379169,62.3
1549379170,62.3
1549379171,62.3
1549379171,62.8
1549379172,62.8
1549379172,62.3
1549379173,62.8
1549379173,63.4
1549379174,62.3
1549379174,62.8
1549379175,62.8
1549379175,63.4
1549379176,62.8
1549379176,62.8
1549379177,63.4
1549379177,63.4
1549379178,62.8
1549379178,63.4
1549379179,62.8
1549379179,62.8
1549379180,62.3
1549379180,63.4
1549379181,63.4
1549379181,62.8
1549379182,62.8
1549379182,62.8
1549379183,63.4
1549379183,63.4
1549379184,62.3
1549379184,62.8
1549379185,62.8
1549379185,63.4
1549379186,63.4
1549379186,63.4
1549379187,63.4
1549379187,63.4
1549379188,63.4
1549379188,63.4
1549379189,63.4
1549379189,63.4
1549379190,63.4
1549379190,63.4
1549379191,62.8
1549379191,63.4
1549379192,63.4
1549379192,63.9
1549379193,63.4
1549379194,63.4
1549379194,63.4
1549379195,62.8
1549379195,63.4
1549379196,63.4
1549379196,63.9
1549379197,63.4
1549379197,63.4
1549379198,63.4
1549379198,63.4
1549379199,63.9
1549379199,63.4
1549379200,63.4
1549379200,63.4
1549379201,63.4
1549379201,63.9
1549379202,63.4
1549379202,63.4
1549379203,63.4
1549379203,63.9
1549379204,63.4
1549379204,63.4
1549379205,63.4
1549379205,63.9
1549379206,63.4
1549379206,63.4
1549379207,63.4
1549379207,63.4
1549379208,63.4
1549379208,63.9
1549379209,63.4
1549379209,63.4
1549379210,63.9
1549379210,63.9
1549379211,63.4
1549379211,63.9
1549379212,63.4
1549379212,64.5
1549379213,63.4
1549379213,63.9
1549379214,63.9
1549379214,64.5
1549379215,64.5
1549379215,63.9
1549379216,63.9
1549379216,64.5
1549379217,64.5
1549379218,64.5
1549379218,63.9
1549379219,63.4
1549379219,64.5
1549379220,63.9
1549379220,63.4
1549379221,64.5
1549379221,64.5
1549379222,64.5
1549379222,63.4
1549379223,64.5
1549379223,64.5
1549379224,64.5
1549379224,64.5
1549379225,63.9
1549379225,64.5
1549379226,64.5
1549379226,63.9
1549379227,64.5
1549379227,64.5
1549379228,63.9
1549379228,64.5
1549379229,63.9
1549379229,64.5
1549379230,63.9
1549379230,64.5
1549379231,64.5
1549379231,65.0
1549379232,63.9
1549379232,64.5
1549379233,64.5
1549379233,64.5
1549379234,64.5
1549379234,64.5
1549379235,64.5
1549379235,64.5
1549379236,65.0
1549379236,64.5
1549379237,65.0
1549379237,64.5
1549379238,64.5
1549379238,65.0
1549379239,64.5
1549379239,65.0
1549379240,64.5
1549379241,64.5
1549379241,65.0
1549379242,65.0
1549379242,64.5
1549379243,64.5
1549379243,64.5
1549379244,65.0
1549379244,64.5
1549379245,65.0
1549379245,64.5
1549379246,64.5
1549379246,64.5
1549379247,65.0
1549379247,65.0
1549379248,64.5
1549379248,65.0
1549379249,65.0
1549379249,65.0
1549379250,65.0
1549379250,64.5
1549379251,64.5
1549379251,65.0
1549379252,64.5
1549379252,65.5
1549379253,65.0
1549379253,65.5
1549379254,65.0
1549379254,65.0
1549379255,65.0
1549379255,65.0
1549379256,64.5
1549379256,65.0
1549379257,65.0
1549379257,65.0
1549379258,65.0
1549379258,65.0
1549379259,65.5
1549379259,65.0
1549379260,65.0
1549379260,65.5
1549379261,65.5
1549379261,65.0
1549379262,65.0
1549379262,65.0
1549379263,65.0
1549379264,65.0
1549379264,65.0
1549379265,65.5
1549379265,65.0
1549379266,65.5
1549379266,65.0
1549379267,65.0
1549379267,65.5
1549379268,65.5
1549379268,65.0
1549379269,65.5
1549379269,65.5
1549379270,65.0
1549379270,65.5
1549379271,65.5
1549379271,65.5
1549379272,65.5
1549379272,65.5
1549379273,65.5
1549379273,65.5
1549379274,65.5
1549379274,65.5
1549379275,65.5
1549379275,65.0
1549379276,65.5
1549379276,65.5
1549379277,65.5
1549379277,65.5
1549379278,65.5
1549379278,65.0
1549379279,65.5
1549379279,65.5
1549379280,65.5
1549379280,65.5
1549379281,65.5
1549379281,65.5
1549379282,65.5
1549379282,65.5
1549379283,65.5
1549379283,65.5
1549379284,65.5
1549379284,66.1
1549379285,65.5
1549379285,66.6
1549379286,65.5
1549379287,65.5
1549379287,65.5
1549379288,66.6
1549379288,65.5
1549379289,65.5
1549379289,65.5
1549379290,65.5
1549379290,65.5
1549379291,65.5
1549379291,65.5
1549379292,65.5
1549379292,66.6
1549379293,65.5
1549379293,66.1
1549379294,65.5
1549379294,66.6
1549379295,66.1
1549379295,66.1
1549379296,65.5
1549379296,66.1
1549379297,65.5
1549379297,66.1
1549379298,65.5
1549379298,65.5
1549379299,65.5
1549379299,66.6
1549379300,65.5
1549379300,66.1
1549379301,66.1
1549379301,66.1
1549379302,66.1
1549379302,65.5
1549379303,66.6
1549379303,66.1
1549379304,66.1
1549379304,66.6
1549379305,66.6
1549379305,65.5
1549379306,66.1
1549379306,66.6
1549379307,66.1
1549379307,65.5
1549379308,66.1
1549379308,66.6
1549379309,66.6
1549379309,65.5
1549379310,65.5
1549379311,65.5
1549379311,66.6
1549379312,65.5
1549379312,66.6
1549379313,66.1
1549379313,65.5
1549379314,66.6
1549379314,65.5
1549379315,66.1
1549379315,66.6
1549379316,66.6
1549379316,66.1
1549379317,66.6
1549379317,66.6
1549379318,66.6
1549379318,66.6
1549379319,66.1
1549379319,66.6
1549379320,66.6
1549379320,66.1
1549379321,66.6
1549379321,66.6
1549379322,66.6
1549379322,66.6
1549379323,66.1
1549379323,66.6
1549379324,66.6
1549379324,66.6
1549379325,66.6
1549379325,66.6
1549379326,66.6
1549379326,66.6
1549379327,66.6
1549379327,66.6
1549379328,66.6
1549379328,66.1
1549379329,66.6
1549379329,66.6
1549379330,66.6
1549379330,66.6
1549379331,66.6
1549379331,66.6
1549379332,66.6
1549379332,66.6
1549379333,66.6
1549379334,66.6
1549379334,66.6
1549379335,66.6
1549379335,66.6
1549379336,66.6
1549379336,66.6
1549379337,66.6
1549379337,66.6
1549379338,66.6
1549379338,66.6
1549379339,66.6
1549379339,66.6
1549379340,66.6
1549379340,67.1
1549379341,66.6
1549379341,67.1
1549379342,66.6
1549379342,66.6
1549379343,67.1
1549379343,66.6
1549379344,66.6
1549379344,66.6
1549379345,66.6
1549379345,66.6
1549379346,66.6
1549379346,67.1
1549379347,66.6
1549379347,66.6
1549379348,67.7
1549379348,67.1
1549379349,66.6
1549379349,67.1
1549379350,66.6
1549379350,67.7
1549379351,66.6
1549379351,67.7
1549379352,67.1
1549379352,67.1
1549379353,66.6
1549379353,66.6
1549379354,67.7
1549379354,66.6
1549379355,66.6
1549379356,67.7
1549379356,66.6
1549379357,67.1
1549379357,67.1
1549379358,67.1
1549379358,67.1
1549379359,67.1
1549379359,67.1
1549379360,66.6
1549379360,66.6
1549379361,67.1
1549379361,67.1
1549379362,66.6
1549379362,67.1
1549379363,67.1
1549379363,66.6
1549379364,67.1
1549379364,67.1
1549379365,66.6
1549379365,67.7
1549379366,67.1
1549379366,67.1
1549379367,67.1
1549379367,67.1
1549379368,66.6
1549379368,66.6
1549379369,67.1
1549379369,67.1
1549379370,67.7
1549379370,67.7
1549379371,67.7
1549379371,66.6
1549379372,67.7
1549379372,67.1
1549379373,67.7
1549379373,67.1
1549379374,67.7
1549379374,66.6
1549379375,67.7
1549379375,67.1
1549379376,67.1
1549379376,67.1
1549379377,67.7
1549379377,67.1
1549379378,67.1
1549379378,66.6
1549379379,67.7
1549379380,67.7
1549379380,67.7
1549379381,67.7
1549379381,67.7
1549379382,67.7
1549379382,67.1
1549379383,67.1
1549379383,67.7
1549379384,67.1
1549379384,67.7
1549379385,67.7
1549379385,67.7
1549379386,67.7
1549379386,67.7
1549379387,68.2
1549379387,67.7
1549379388,67.7
1549379388,67.7
1549379389,67.7
1549379389,67.7
1549379390,67.1
1549379390,67.1
1549379391,67.7
1549379391,67.7
1549379392,67.1
1549379392,67.7
1549379393,67.1
1549379393,67.1
1549379394,67.1
1549379394,68.2
1549379395,67.1
1549379395,67.1
1549379396,67.7
1549379396,67.7
1549379397,67.7
1549379397,67.7
1549379398,67.7
1549379398,67.7
1549379399,67.7
1549379399,68.8
1549379400,67.7
1549379400,67.1
1549379401,67.7
1549379401,68.2
1549379402,67.7
1549379403,67.7
1549379403,67.7
1549379404,67.7
1549379404,67.1
1549379405,67.7
1549379405,68.2
1549379406,67.7
1549379406,67.7
1549379407,67.7
1549379407,67.7
1549379408,67.7
1549379408,67.7
1549379409,68.2
1549379409,67.7
1549379410,67.7
1549379410,67.7
1549379411,68.2
1549379411,67.7
1549379412,68.2
1549379412,67.7
1549379413,67.7
1549379413,67.7
1549379414,67.7
1549379414,67.7
1549379415,67.7
1549379415,67.7
1549379416,68.2
1549379416,67.7
1549379417,67.7
1549379417,67.7
1549379418,67.7
1549379418,67.7
1549379419,68.2
1549379419,68.2
1549379420,68.8
1549379420,67.7
1549379421,68.8
1549379421,67.7
1549379422,68.2
1549379422,68.2
1549379423,67.7
1549379423,68.8
1549379424,68.2
1549379424,68.2
1549379425,67.7
1549379426,68.8
1549379426,67.7
1549379427,67.7
1549379427,67.7
1549379428,67.7
1549379428,68.2
1549379429,67.7
1549379429,67.7
1549379430,67.7
1549379430,68.8
1549379431,68.2
1549379431,67.7
1549379432,67.7
1549379432,68.2
1549379433,67.7
1549379433,68.8
1549379434,67.7
1549379434,68.2
1549379435,68.2
1549379435,67.7
1549379436,67.7
1549379436,68.2
1549379437,68.2
1549379437,68.8
1549379438,68.8
1549379438,68.2
1549379439,67.7
1549379439,68.2
1549379440,67.7
1549379440,68.8
1549379441,67.7
1549379441,68.2
1549379442,67.7
1549379442,68.8
1549379443,68.2
1549379443,68.8
1549379444,67.7
1549379444,68.8
1549379445,68.8
1549379445,68.8
1549379446,68.2
1549379446,68.8
1549379447,68.2
1549379447,67.7
1549379448,68.8
1549379449,68.8
1549379449,67.7
1549379450,67.7
1549379450,67.7
1549379451,68.2
1549379451,67.7
1549379452,68.8
1549379452,68.8
1549379453,67.7
1549379453,68.8
1549379454,67.7
1549379454,68.8
1549379455,68.8
1549379455,68.8
1549379456,68.8
1549379456,68.8
1549379457,68.8
1549379457,68.8
1549379458,68.8
1549379458,68.8
1549379459,68.8
1549379459,68.8
1549379460,68.8
1549379460,68.8
1549379461,68.8
1549379461,69.3
1549379462,68.8
1549379462,69.3
1549379463,68.8
1549379463,68.2
1549379464,68.8
1549379464,68.8
1549379465,68.8
1549379465,68.8
1549379466,68.8
1549379466,67.7
1549379467,68.8
1549379467,68.8
1549379468,68.8
1549379468,68.8
1549379469,68.8
1549379469,68.8
1549379470,68.8
1549379471,69.3
1549379471,68.8
1549379472,69.3
1549379472,68.8
1549379473,68.8
1549379473,68.8
1549379474,68.8
1549379474,68.8
1549379475,68.8
1549379475,68.8
1549379476,68.8
1549379476,68.8
1549379477,69.3
1549379477,68.8
1549379478,68.8
1549379478,68.8
1549379479,69.3
1549379479,68.8
1549379480,68.8
1549379480,69.3
1549379481,68.8
1549379481,68.8
1549379482,68.8
1549379482,69.3
1549379483,69.3
1549379483,68.8
1549379484,68.8
1549379484,68.8
1549379485,69.8
1549379485,68.8
1549379486,69.3
1549379486,68.8
1549379487,69.3
1549379487,69.3
1549379488,68.8
1549379488,68.8
1549379489,68.8
1549379489,68.8
1549379490,68.8
1549379490,68.8
1549379491,68.8
1549379491,68.8
1549379492,68.8
1549379492,68.8
1549379493,69.3
1549379494,68.8
1549379494,69.3
1549379495,69.3
1549379495,68.8
1549379496,69.3
1549379496,68.8
1549379497,68.8
1549379497,68.8
1549379498,69.3
1549379498,69.3
1549379499,68.8
1549379499,69.3
1549379500,69.3
1549379500,69.3
1549379501,69.3
1549379501,69.3
1549379502,68.8
1549379502,69.3
1549379503,69.3
1549379503,69.3
1549379504,68.8
1549379504,68.8
1549379505,68.8
1549379505,68.8
1549379506,68.8
1549379506,69.3
1549379507,69.3
1549379507,69.3
1549379508,69.3
1549379508,68.8
1549379509,68.8
1549379509,69.3
1549379510,69.3
1549379510,69.8
1549379511,68.8
1549379511,69.3
1549379512,68.8
1549379512,69.3
1549379513,69.8
1549379513,69.3
1549379514,69.3
1549379514,69.3
1549379515,69.3
1549379515,69.3
1549379516,68.8
1549379517,68.8
1549379517,69.3
1549379518,68.8
1549379518,69.3
1549379519,69.8
1549379519,68.8
1549379520,69.3
1549379520,68.8
1549379521,68.8
1549379521,68.8
1549379522,69.8
1549379522,69.8
1549379523,68.8
1549379523,69.3
1549379524,68.8
1549379524,69.3
1549379525,68.8
1549379525,68.8
1549379526,69.3
1549379526,69.3
1549379527,69.3
1549379527,69.8
1549379528,69.8
1549379528,69.8
1549379529,69.3
1549379529,69.3
1549379530,69.8
1549379530,69.8
1549379531,69.3
1549379531,69.3
1549379532,69.3
1549379532,69.8
1549379533,69.3
1549379533,69.3
1549379534,69.3
1549379534,69.8
1549379535,69.8
1549379535,69.8
1549379536,69.3
1549379536,69.3
1549379537,69.3
1549379537,69.3
1549379538,69.3
1549379538,69.8
1549379539,69.8
1549379540,69.8
1549379540,69.8
1549379541,68.8
1549379541,69.8
1549379542,69.8
1549379542,69.3
1549379543,70.4
1549379543,69.3
1549379544,69.3
1549379544,69.8
1549379545,69.8
1549379545,69.3
1549379546,69.8
1549379546,69.3
1549379547,69.8
1549379547,69.8
1549379548,69.3
1549379548,69.3
1549379549,69.3
1549379549,69.8
1549379550,69.3
1549379550,69.3
1549379551,69.8
1549379551,69.3
1549379552,69.3
1549379552,69.8
1549379553,69.3
1549379553,69.8
1549379554,69.8
1549379554,69.8
1549379555,69.8
1549379555,69.8
1549379556,69.3
1549379556,69.3
1549379557,69.3
1549379557,69.3
1549379558,69.3
1549379558,69.3
1549379559,69.8
1549379559,69.8
1549379560,69.8
1549379560,69.8
1549379561,69.8
1549379561,69.8
1549379562,69.3
1549379562,69.8
1549379563,69.8
1549379564,69.8
1549379564,69.8
1549379565,69.8
1549379565,69.3
1549379566,69.3
1549379566,69.8
1549379567,69.8
1549379567,69.8
1549379568,69.8
1549379568,69.8
1549379569,69.8
1549379569,69.8
1549379570,69.8
1549379570,69.8
1549379571,69.8
1549379571,69.3
1549379572,69.3
1549379572,69.8
1549379573,70.4
1549379573,70.4
1549379574,69.8
1549379574,69.8
1549379575,69.8
1549379575,69.8
1549379576,69.8
1549379576,70.4
1549379577,69.8
1549379577,69.3
1549379578,69.8
1549379578,69.8
1549379579,69.8
1549379579,69.8
1549379580,69.8
1549379580,69.8
1549379581,69.8
1549379581,69.8
1549379582,69.8
1549379582,70.4
1549379583,70.4
1549379583,69.8
1549379584,69.8
1549379584,69.8
1549379585,69.8
1549379585,69.8
1549379586,70.4
1549379586,69.8
1549379587,69.8
1549379588,69.8
1549379588,70.4
1549379589,69.8
1549379589,69.8
1549379590,69.8
1549379590,69.8
1549379591,70.4
1549379591,69.8
1549379592,69.8
1549379592,69.8
1549379593,69.8
1549379593,70.4
1549379594,69.8
1549379594,70.4
1549379595,69.8
1549379595,69.8
1549379596,69.8
1549379596,69.8
1549379597,69.8
1549379597,70.4
1549379598,70.4
1549379598,69.8
1549379599,69.8
1549379599,69.8
1549379600,69.8
1549379600,69.8
1549379601,69.8
1549379601,70.4
1549379602,69.8
1549379602,70.4
1549379603,69.8
1549379603,70.9
1549379604,70.4
1549379604,70.9
1549379605,70.9
1549379605,70.4
1549379606,69.8
1549379606,70.4
1549379607,70.9
1549379607,70.9
1549379608,70.9
1549379608,69.8
1549379609,69.8
1549379610,70.9
1549379610,69.8
1549379611,70.4
1549379611,69.8
1549379612,70.4
1549379612,70.4
1549379613,69.8
1549379613,70.4
1549379614,69.8
1549379614,69.8
1549379615,70.4
1549379615,70.4
1549379616,70.9
1549379616,70.4
1549379617,70.4
1549379617,69.8
1549379618,70.4
1549379618,69.8
1549379619,69.8
1549379619,69.8
1549379620,69.8
1549379620,70.9
1549379621,69.8
1549379621,70.4
1549379622,69.8
1549379622,69.8
1549379623,70.9
1549379623,69.8
1549379624,70.9
1549379624,70.9
1549379625,69.8
1549379625,70.9
1549379626,69.8
1549379626,70.4
1549379627,69.8
1549379627,70.4
1549379628,70.4
1549379628,70.4
1549379629,70.9
1549379629,70.9
1549379630,70.9
1549379630,70.9
1549379631,70.9
1549379631,69.8
1549379632,69.8
1549379633,69.8
1549379633,69.8
1549379634,70.9
1549379634,70.4
1549379635,70.9
1549379635,70.9
1549379636,70.9
1549379636,70.4
1549379637,70.9
1549379637,69.8
1549379638,70.9
1549379638,70.9
1549379639,70.9
1549379639,70.4
1549379640,70.4
1549379640,70.4
1549379641,69.8
1549379641,69.8
1549379642,70.9
1549379642,70.4
1549379643,70.9
1549379643,69.8
1549379644,69.8
1549379644,70.4
1549379645,69.8
1549379645,70.4
1549379646,69.8
1549379646,69.8
1549379647,69.8
1549379647,69.8
1549379648,69.8
1549379648,70.9
1549379649,69.8
1549379649,69.8
1549379650,69.8
1549379650,69.3
1549379651,69.8
1549379651,69.8
1549379652,69.8
1549379652,69.8
1549379653,70.4
1549379653,69.8
1549379654,69.8
1549379654,69.8
1549379655,69.8
1549379656,70.4
1549379656,69.8
1549379657,69.8
1549379657,69.8
1549379658,69.8
1549379658,70.9
1549379659,69.8
1549379659,70.4
1549379660,69.8
1549379660,70.4
1549379661,69.8
1549379661,69.8
1549379662,69.8
1549379662,69.8
1549379663,70.4
1549379663,69.8
1549379664,69.8
1549379664,69.8
1549379665,69.8
1549379665,69.8
1549379666,69.8
1549379666,69.8
1549379667,69.8
1549379667,70.4
1549379668,70.4
1549379668,70.4
1549379669,69.8
1549379669,69.8
1549379670,70.4
1549379670,69.8
1549379671,69.8
1549379671,69.3
1549379672,69.8
1549379672,70.4
1549379673,69.8
1549379673,70.4
1549379674,69.8
1549379674,69.8
1549379675,70.4
1549379675,69.3
1549379676,69.8
1549379676,69.8
1549379677,69.3
1549379678,69.8
1549379678,69.8
1549379679,69.3
1549379679,69.8
1549379680,69.8
1549379680,69.3
1549379681,69.8
1549379681,69.3
1549379682,69.8
1549379682,69.3
1549379683,69.3
1549379683,69.3
1549379684,68.8
1549379684,69.3
1549379685,69.8
1549379685,69.3
1549379686,69.3
1549379686,69.3
1549379687,69.3
1549379687,68.8
1549379688,69.3
1549379688,69.3
1549379689,68.8
1549379689,69.3
1549379690,69.8
1549379690,69.3
1549379691,69.8
1549379691,68.8
1549379692,69.3
1549379692,69.3
1549379693,69.3
1549379693,69.8
1549379694,69.8
1549379694,69.8
1549379695,69.3
1549379695,69.8
1549379696,69.3
1549379696,69.3
1549379697,69.3
1549379697,69.3
1549379698,69.3
1549379698,69.3
1549379699,69.3
1549379699,68.8
1549379700,69.3
1549379700,69.8
1549379701,69.3
1549379702,69.3
1549379702,69.3
1549379703,69.3
1549379703,69.3
1549379704,68.8
1549379704,69.3
1549379705,69.8
1549379705,69.3
1549379706,69.3
1549379706,68.8
1549379707,69.3
1549379707,69.3
1549379708,69.3
1549379708,69.3
1549379709,69.8
1549379709,69.3
1549379710,69.3
1549379710,69.3
1549379711,69.8
1549379711,69.8
1549379712,68.8
1549379712,69.3
1549379713,69.3
1549379713,69.3
1549379714,69.3
1549379714,68.8
1549379715,69.3
1549379715,69.8
1549379716,68.8
1549379716,68.8
1549379717,69.3
1549379717,68.8
1549379718,69.8
1549379718,69.8
1549379719,69.8
1549379719,69.8
1549379720,68.8
1549379720,69.3
1549379721,69.3
1549379721,69.3
1549379722,69.3
1549379722,69.3
1549379723,68.8
1549379723,69.3
1549379724,69.3
1549379725,68.8
1549379725,69.3
1549379726,69.3
1549379726,68.8
1549379727,69.3
1549379727,68.8
1549379728,69.8
1549379728,68.8
1549379729,68.8
1549379729,69.3
1549379730,69.3
1549379730,68.8
1549379731,68.8
1549379731,68.8
1549379732,68.8
1549379732,69.3
1549379733,68.8
1549379733,68.8
1549379734,68.8
1549379734,68.8
1549379735,69.3
1549379735,68.8
1549379736,69.3
1549379736,68.8
1549379737,68.8
1549379737,69.3
1549379738,68.8
1549379738,69.3
1549379739,68.8
1549379739,68.8
1549379740,69.3
1549379740,69.8
1549379741,68.8
1549379741,68.8
1549379742,68.8
1549379742,69.3
1549379743,69.3
1549379743,68.8
1549379744,68.8
1549379744,69.3
1549379745,69.3
1549379745,68.8
1549379746,69.3
1549379746,68.8
1549379747,68.8
1549379748,69.3
1549379748,68.8
1549379749,69.3
1549379749,68.8
1549379750,68.8
1549379750,68.8
1549379751,69.8
1549379751,69.3
1549379752,68.8
1549379752,68.8
1549379753,69.3
1549379753,69.3
1549379754,69.3
1549379754,68.8
1549379755,69.3
1549379755,68.8
1549379756,68.8
1549379756,69.3
1549379757,69.3
1549379757,69.3
1549379758,69.3
1549379758,68.8
1549379759,69.3
1549379759,69.3
1549379760,69.8
1549379760,69.3
1549379761,68.8
1549379761,69.3
1549379762,69.3
1549379762,68.8
